,Start,Stop,Pearson,hourly-position,hourly-velocity,expected-arrival
0,2022-12-23 22:31:00,2022-12-23 23:30:00,-0.0012074772757838406,280645.06501694914,-582.0593220338983,8
1,2022-12-23 22:32:00,2022-12-23 23:31:00,0.019380835131366524,280609.0357627118,-582.1254237288134,8
2,2022-12-23 22:33:00,2022-12-23 23:32:00,0.020769773883313223,280601.0375423729,-581.5932203389831,8
3,2022-12-23 22:34:00,2022-12-23 23:33:00,0.012221023831907808,280575.66364406777,-581.3779661016949,8
4,2022-12-23 22:35:00,2022-12-23 23:34:00,0.009308168930059217,280553.45652542374,-581.1627118644069,8
5,2022-12-23 22:36:00,2022-12-23 23:35:00,0.026194422426570427,280505.2255084746,-580.5033898305086,8
6,2022-12-23 22:37:00,2022-12-23 23:36:00,0.040550476734336545,280497.997118644,-579.8440677966104,8
7,2022-12-23 22:38:00,2022-12-23 23:37:00,0.07677072754747022,280469.07135593216,-579.477966101695,8
8,2022-12-23 22:39:00,2022-12-23 23:38:00,0.10700770634922138,280396.8259999999,-579.1101694915254,8
9,2022-12-23 22:40:00,2022-12-23 23:39:00,0.12588229246198748,280366.66447457625,-578.6762711864407,8
10,2022-12-23 22:41:00,2022-12-23 23:40:00,0.1547457503784096,280310.48023728817,-578.3881355932203,8
11,2022-12-23 22:42:00,2022-12-23 23:41:00,0.2564740001918672,280275.84084745764,-578.6237288135594,8
12,2022-12-23 22:43:00,2022-12-23 23:42:00,0.2994963805168351,280257.33966101706,-578.5610169491525,8
13,2022-12-23 22:44:00,2022-12-23 23:43:00,0.3071540857995778,280237.6801694915,-578.2915254237288,8
14,2022-12-23 22:45:00,2022-12-23 23:44:00,0.3711270251288534,280196.32177966094,-578.3762711864406,8
15,2022-12-23 22:46:00,2022-12-23 23:45:00,0.3598378394489245,280206.778559322,-577.942372881356,8
16,2022-12-23 22:47:00,2022-12-23 23:46:00,0.32667552367816094,280105.8123728814,-577.3237288135595,8
17,2022-12-23 22:48:00,2022-12-23 23:47:00,0.29729097579703045,280056.6581355933,-576.6203389830509,8
18,2022-12-23 22:49:00,2022-12-23 23:48:00,0.3069254626016047,279949.05093220336,-576.2694915254237,8
19,2022-12-23 22:50:00,2022-12-23 23:49:00,0.3103376304133041,279939.7440508475,-576.0728813559322,8
20,2022-12-23 22:51:00,2022-12-23 23:50:00,0.3812180596333862,279930.36059322034,-576.7322033898304,8
21,2022-12-23 22:52:00,2022-12-23 23:51:00,0.4566157336218588,279875.4965254237,-577.2457627118642,8
22,2022-12-23 22:53:00,2022-12-23 23:52:00,0.5157427732355151,279860.5546610169,-577.7593220338982,8
23,2022-12-23 22:54:00,2022-12-23 23:53:00,0.5366701188880247,279824.9988305084,-577.5847457627117,8
24,2022-12-23 22:55:00,2022-12-23 23:54:00,0.5662661220544969,279853.1477118643,-577.5762711864406,8
25,2022-12-23 22:56:00,2022-12-23 23:55:00,0.6022008222835282,279800.141440678,-577.7016949152544,8
26,2022-12-23 22:57:00,2022-12-23 23:56:00,0.6150257596301846,279819.4903220339,-578.313559322034,8
27,2022-12-23 22:58:00,2022-12-23 23:57:00,0.636716698237449,279807.4133728813,-578.957627118644,8
28,2022-12-23 22:59:00,2022-12-23 23:58:00,0.6474065188373826,279860.12481355935,-579.6101694915253,8
29,2022-12-23 23:00:00,2022-12-23 23:59:00,0.6410344803046026,279828.43871186435,-580.4508474576271,8
30,2022-12-23 23:01:00,2022-12-24 00:00:00,0.6400818519501755,279863.70176271186,-581.2915254237289,8
31,2022-12-23 23:02:00,2022-12-24 00:01:00,0.6639379991317234,279815.64796610165,-582.1322033898307,8
32,2022-12-23 23:03:00,2022-12-24 00:02:00,0.6744041238206329,279829.1391525424,-582.9728813559324,8
33,2022-12-23 23:04:00,2022-12-24 00:03:00,0.6919225114862066,279803.6377966102,-583.813559322034,7
34,2022-12-23 23:05:00,2022-12-24 00:04:00,0.6994561442662284,279786.7101694916,-584.6542372881357,7
35,2022-12-23 23:06:00,2022-12-24 00:05:00,0.6908064919561121,279777.27474576276,-584.605084745763,7
36,2022-12-23 23:07:00,2022-12-24 00:06:00,0.6882078382296124,279823.9776271186,-584.8525423728814,7
37,2022-12-23 23:08:00,2022-12-24 00:07:00,0.6788540851662661,279882.49983050843,-585.4847457627119,7
38,2022-12-23 23:09:00,2022-12-24 00:08:00,0.6679213207713357,279923.6491525424,-586.2203389830507,7
39,2022-12-23 23:10:00,2022-12-24 00:09:00,0.6566950000947919,279948.5087288135,-586.9661016949151,7
