,Start,Stop,Pearson,hourly-position,hourly-velocity,expected-arrival
0,2022-12-23 22:31:00,2022-12-23 23:30:00,0.19256698174110087,280645.06501694914,-582.0593220338983,8
1,2022-12-23 22:32:00,2022-12-23 23:31:00,0.17410634211117312,280609.0357627118,-582.1254237288134,8
2,2022-12-23 22:33:00,2022-12-23 23:32:00,0.16353469837829698,280601.0375423729,-581.5932203389831,8
3,2022-12-23 22:34:00,2022-12-23 23:33:00,0.14741510443541087,280575.66364406777,-581.3779661016949,8
4,2022-12-23 22:35:00,2022-12-23 23:34:00,0.1290263131841359,280553.45652542374,-581.1627118644069,8
5,2022-12-23 22:36:00,2022-12-23 23:35:00,0.11230279722964343,280505.2255084746,-580.5033898305086,8
6,2022-12-23 22:37:00,2022-12-23 23:36:00,0.09382347850861276,280497.997118644,-579.8440677966104,8
7,2022-12-23 22:38:00,2022-12-23 23:37:00,0.0729586835066663,280469.07135593216,-579.477966101695,8
8,2022-12-23 22:39:00,2022-12-23 23:38:00,0.05293739782665438,280396.8259999999,-579.1101694915254,8
9,2022-12-23 22:40:00,2022-12-23 23:39:00,0.059249916408044015,280366.66447457625,-578.6762711864407,8
10,2022-12-23 22:41:00,2022-12-23 23:40:00,0.05429579195440857,280310.48023728817,-578.3881355932203,8
11,2022-12-23 22:42:00,2022-12-23 23:41:00,0.07879274223436128,280275.84084745764,-578.6237288135594,8
12,2022-12-23 22:43:00,2022-12-23 23:42:00,0.09317233763246957,280257.33966101706,-578.5610169491525,8
13,2022-12-23 22:44:00,2022-12-23 23:43:00,0.09599261605599653,280237.6801694915,-578.2915254237288,8
14,2022-12-23 22:45:00,2022-12-23 23:44:00,0.10922228578424771,280196.32177966094,-578.3762711864406,8
15,2022-12-23 22:46:00,2022-12-23 23:45:00,0.09018720952349538,280206.778559322,-577.942372881356,8
16,2022-12-23 22:47:00,2022-12-23 23:46:00,0.0959203775891658,280105.8123728814,-577.3237288135595,8
17,2022-12-23 22:48:00,2022-12-23 23:47:00,0.06814547561136716,280056.6581355933,-576.6203389830509,8
18,2022-12-23 22:49:00,2022-12-23 23:48:00,0.02832001154738323,279949.05093220336,-576.2694915254237,8
19,2022-12-23 22:50:00,2022-12-23 23:49:00,0.02079911172921771,279939.7440508475,-576.0728813559322,8
20,2022-12-23 22:51:00,2022-12-23 23:50:00,0.010344292815982089,279930.36059322034,-576.7322033898304,8
21,2022-12-23 22:52:00,2022-12-23 23:51:00,0.018317361441342793,279875.4965254237,-577.2457627118642,8
22,2022-12-23 22:53:00,2022-12-23 23:52:00,0.026184104868520332,279860.5546610169,-577.7593220338982,8
23,2022-12-23 22:54:00,2022-12-23 23:53:00,0.03610862597996935,279824.9988305084,-577.5847457627117,8
24,2022-12-23 22:55:00,2022-12-23 23:54:00,0.04488039003193559,279853.1477118643,-577.5762711864406,8
25,2022-12-23 22:56:00,2022-12-23 23:55:00,0.05345911003279449,279800.141440678,-577.7016949152544,8
26,2022-12-23 22:57:00,2022-12-23 23:56:00,0.10746393250049774,279819.4903220339,-578.313559322034,8
27,2022-12-23 22:58:00,2022-12-23 23:57:00,0.1457096472998667,279807.4133728813,-578.957627118644,8
28,2022-12-23 22:59:00,2022-12-23 23:58:00,0.1784616560758774,279860.12481355935,-579.6101694915253,8
29,2022-12-23 23:00:00,2022-12-23 23:59:00,0.2138858620136075,279828.43871186435,-580.4508474576271,8
30,2022-12-23 23:01:00,2022-12-24 00:00:00,0.2442898685352814,279863.70176271186,-581.2915254237289,8
31,2022-12-23 23:02:00,2022-12-24 00:01:00,0.2663129419368311,279815.64796610165,-582.1322033898307,8
32,2022-12-23 23:03:00,2022-12-24 00:02:00,0.27866352825420593,279829.1391525424,-582.9728813559324,8
33,2022-12-23 23:04:00,2022-12-24 00:03:00,0.2909420514426057,279803.6377966102,-583.813559322034,7
34,2022-12-23 23:05:00,2022-12-24 00:04:00,0.30314955630591744,279786.7101694916,-584.6542372881357,7
35,2022-12-23 23:06:00,2022-12-24 00:05:00,0.3445597995066334,279777.27474576276,-584.605084745763,7
36,2022-12-23 23:07:00,2022-12-24 00:06:00,0.3452185086671044,279823.9776271186,-584.8525423728814,7
37,2022-12-23 23:08:00,2022-12-24 00:07:00,0.3429796977032573,279882.49983050843,-585.4847457627119,7
38,2022-12-23 23:09:00,2022-12-24 00:08:00,0.3325222227300892,279923.6491525424,-586.2203389830507,7
39,2022-12-23 23:10:00,2022-12-24 00:09:00,0.318502126723229,279948.5087288135,-586.9661016949151,7
40,2022-12-23 23:11:00,2022-12-24 00:10:00,0.3007363193826884,279967.88745762716,-587.7118644067796,7
41,2022-12-23 23:12:00,2022-12-24 00:11:00,0.27728347692560457,279982.8688983051,-588.4576271186438,7
42,2022-12-23 23:13:00,2022-12-24 00:12:00,0.2468642962597889,279984.8041525424,-589.2033898305082,7
43,2022-12-23 23:14:00,2022-12-24 00:13:00,0.21941712988549147,279979.0968644067,-589.9491525423726,7
44,2022-12-23 23:15:00,2022-12-24 00:14:00,0.2076186928647663,279986.288220339,-590.694915254237,7
45,2022-12-23 23:16:00,2022-12-24 00:15:00,0.22253765512291762,279966.37957627105,-591.4406779661015,7
46,2022-12-23 23:17:00,2022-12-24 00:16:00,0.22980553835940357,279970.1790677966,-592.137288135593,7
47,2022-12-23 23:18:00,2022-12-24 00:17:00,0.23989480147604905,279959.85144067794,-592.8338983050845,7
48,2022-12-23 23:19:00,2022-12-24 00:18:00,0.24493189530710763,279914.8560169491,-593.5305084745761,7
49,2022-12-23 23:20:00,2022-12-24 00:19:00,0.24635967739685957,279883.84101694915,-594.2271186440677,7
